,z,y,x,price,table,depth,carat,-
67,2.73,4.3,4.33,553.0,57.0,63.3,0.31,68.0
68,2.68,4.32,4.35,553.0,58.0,61.8,0.31,69.0
69,2.44,4.03,4.01,553.0,58.0,60.7,0.24,70.0
70,2.45,4.0,3.97,553.0,60.0,61.5,0.24,71.0
71,2.7,4.27,4.29,554.0,56.0,63.1,0.3,72.0
72,2.68,4.24,4.28,554.0,59.0,62.9,0.3,73.0
73,2.67,4.25,4.29,554.0,57.0,62.5,0.3,74.0
74,2.72,4.26,4.28,554.0,57.0,63.7,0.3,75.0
75,2.49,4.22,4.19,554.0,60.0,59.2,0.26,76.0
76,2.51,4.23,4.15,554.0,58.0,59.9,0.26,77.0
77,2.56,4.13,4.08,554.0,54.0,62.4,0.26,78.0
78,2.53,4.05,4.01,554.0,60.0,62.8,0.26,79.0
79,2.55,4.09,4.06,554.0,59.0,62.6,0.26,80.0
80,2.55,4.04,4.0,554.0,59.0,63.4,0.26,81.0
81,2.53,4.12,4.03,554.0,60.0,62.1,0.26,82.0
82,2.54,4.06,4.02,554.0,58.0,62.9,0.26,83.0
83,2.87,4.67,4.65,554.0,56.0,61.6,0.38,84.0
84,2.45,4.25,4.22,554.0,60.0,57.9,0.26,85.0
85,2.45,3.92,3.95,554.0,59.0,62.3,0.24,86.0
86,2.44,3.96,4.01,554.0,58.0,61.2,0.24,87.0
87,2.44,4.0,4.02,554.0,59.0,60.8,0.24,88.0
88,2.46,4.04,4.07,554.0,58.0,60.7,0.24,89.0
89,2.73,4.33,4.35,554.0,58.0,62.9,0.32,90.0
90,3.57,5.72,5.7,2757.0,57.0,62.5,0.7,91.0
91,3.52,6.33,6.45,2757.0,69.0,55.1,0.86,92.0
92,3.5,5.67,5.7,2757.0,56.0,61.6,0.7,93.0
93,3.56,5.73,5.68,2759.0,57.0,62.4,0.71,94.0
94,3.72,5.85,5.81,2759.0,56.0,63.8,0.78,95.0
95,3.38,5.9,5.85,2759.0,58.0,57.5,0.7,96.0
96,3.4,5.76,5.71,2759.0,62.0,59.4,0.7,97.0
97,4.07,5.95,6.27,2759.0,62.0,66.3,0.96,98.0
98,3.56,5.78,5.77,2760.0,59.0,61.6,0.73,99.0
99,3.66,5.93,5.97,2760.0,58.0,61.5,0.8,100.0
100,3.65,5.75,5.8,2760.0,56.0,63.2,0.75,101.0
101,3.58,5.96,6.0,2760.0,54.0,59.9,0.75,102.0
102,3.59,5.85,5.8,2760.0,55.0,61.6,0.74,103.0
103,3.59,5.79,5.85,2760.0,58.0,61.7,0.75,104.0
104,3.72,5.87,5.94,2760.0,56.0,62.9,0.8,105.0
105,3.63,5.8,5.87,2760.0,55.0,62.2,0.75,106.0
106,3.69,5.81,5.9,2760.0,59.0,63.0,0.8,107.0
107,3.61,5.81,5.77,2761.0,55.0,62.3,0.74,108.0
108,3.6,6.11,6.14,2761.0,57.0,58.8,0.81,109.0
109,3.35,5.43,5.38,2761.0,55.0,62.0,0.59,110.0
110,3.67,6.0,5.96,2761.0,57.0,61.4,0.8,111.0
111,3.62,5.84,5.8,2761.0,56.0,62.2,0.74,112.0
112,3.87,6.12,6.16,2761.0,58.0,63.0,0.9,113.0
113,3.59,5.82,5.73,2762.0,59.0,62.2,0.74,114.0
114,3.6,5.74,5.77,2762.0,56.0,62.6,0.73,115.0
115,3.62,5.75,5.8,2762.0,53.0,62.7,0.73,116.0
116,3.68,5.94,5.98,2762.0,58.0,61.7,0.8,117.0
117,3.58,5.76,5.72,2762.0,54.0,62.4,0.71,118.0
118,3.49,5.76,5.73,2762.0,58.0,60.7,0.7,119.0
119,3.62,6.07,6.01,2762.0,59.0,59.9,0.8,120.0
120,3.56,5.69,5.73,2762.0,56.0,62.3,0.71,121.0
121,3.62,5.83,5.8,2762.0,54.0,62.3,0.74,122.0
122,3.47,5.61,5.64,2762.0,63.0,61.7,0.7,123.0
123,3.58,5.53,5.57,2762.0,57.0,64.5,0.7,124.0
124,3.66,5.58,5.63,2762.0,55.0,65.3,0.7,125.0
125,3.46,5.59,5.65,2762.0,60.0,61.6,0.7,126.0
126,3.7,5.97,6.09,2763.0,56.0,61.4,0.91,127.0
127,3.32,5.58,5.56,2763.0,57.0,59.6,0.61,128.0
128,3.93,6.09,6.11,2763.0,57.0,64.4,0.91,129.0
129,3.95,5.99,6.03,2763.0,60.0,65.7,0.91,130.0
130,3.64,5.86,5.89,2763.0,56.0,62.0,0.77,131.0
131,3.6,5.68,5.64,2764.0,58.0,63.6,0.71,132.0
132,3.53,5.72,5.69,2764.0,59.0,61.9,0.71,133.0
133,3.53,5.65,5.62,2765.0,60.0,62.6,0.7,134.0
134,3.61,5.9,5.88,2765.0,60.0,61.3,0.77,135.0
135,3.37,5.55,5.52,2765.0,60.0,60.9,0.63,136.0
136,3.46,5.77,5.74,2765.0,62.0,60.1,0.71,137.0
137,3.53,5.73,5.69,2765.0,59.0,61.8,0.71,138.0
138,3.61,5.91,5.88,2765.0,57.0,61.2,0.76,139.0
139,3.43,5.56,5.53,2766.0,56.0,61.9,0.64,140.0
140,3.51,5.75,5.78,2766.0,57.0,60.9,0.71,141.0
141,3.5,5.81,5.89,2766.0,56.0,59.8,0.71,142.0
142,3.52,5.72,5.68,2767.0,55.0,61.8,0.7,143.0
143,3.5,5.87,5.8,2767.0,57.0,60.0,0.7,144.0
144,3.54,5.76,5.74,2767.0,55.0,61.6,0.71,145.0
145,3.5,5.65,5.62,2767.0,64.0,62.1,0.7,146.0
146,3.52,5.61,5.52,2768.0,59.0,63.3,0.71,147.0
147,3.52,5.87,5.83,2768.0,56.0,60.2,0.73,148.0
148,3.48,5.73,5.66,2768.0,58.0,61.1,0.7,149.0
149,3.5,5.76,5.73,2768.0,57.0,60.9,0.7,150.0
150,3.51,5.67,5.71,2768.0,59.0,61.7,0.71,151.0
151,3.57,5.86,5.82,2769.0,56.0,61.3,0.74,152.0
152,3.52,5.61,5.65,2770.0,60.0,62.5,0.71,153.0
153,3.56,5.76,5.83,2770.0,59.0,61.4,0.73,154.0
154,3.65,5.81,5.79,2770.0,57.0,62.9,0.76,155.0
155,3.62,5.83,5.78,2770.0,57.0,62.4,0.76,156.0
156,3.51,5.8,5.77,2770.0,56.0,60.7,0.71,157.0
157,3.55,5.82,5.87,2770.0,58.0,60.7,0.73,158.0
158,3.55,5.75,5.79,2770.0,58.0,61.5,0.73,159.0
159,3.54,5.89,5.92,2770.0,57.0,59.9,0.73,160.0
160,3.49,5.87,5.92,2770.0,59.0,59.2,0.73,161.0
161,3.51,5.83,5.81,2771.0,56.0,60.3,0.72,162.0
162,3.58,5.82,5.79,2771.0,60.0,61.7,0.73,163.0
163,3.56,5.77,5.73,2771.0,57.0,61.9,0.71,164.0
164,3.68,5.92,5.97,2771.0,55.0,61.9,0.79,165.0
165,3.54,5.89,5.83,2772.0,59.0,60.4,0.73,166.0
166,3.67,6.03,6.01,2772.0,57.0,61.0,0.8,167.0
167,3.33,5.44,5.39,2772.0,55.0,61.5,0.58,168.0
168,3.3,5.37,5.33,2772.0,56.0,61.7,0.58,169.0
169,3.46,5.88,5.8,2772.0,61.0,59.2,0.71,170.0
170,3.6,5.89,5.85,2773.0,56.0,61.3,0.75,171.0
171,3.38,5.78,5.87,2773.0,62.0,58.0,0.7,172.0
172,4.13,6.9,6.83,2774.0,61.0,60.2,1.17,173.0
173,3.35,5.44,5.41,2774.0,55.0,61.7,0.6,174.0
174,3.58,5.74,5.68,2774.0,55.0,62.7,0.7,175.0
175,3.79,5.88,5.85,2774.0,54.0,64.6,0.83,176.0
176,3.57,5.84,5.8,2775.0,61.0,61.3,0.74,177.0
177,3.61,5.69,5.62,2776.0,56.4,63.7,0.72,178.0
178,3.58,5.68,5.74,2776.0,58.0,62.7,0.71,179.0
179,3.55,5.62,5.79,2776.0,57.0,62.2,0.71,180.0
180,3.24,5.27,5.25,2776.0,56.0,61.6,0.54,181.0
181,3.23,5.26,5.24,2776.0,57.0,61.5,0.54,182.0
182,3.55,5.75,5.72,2776.0,56.0,61.8,0.72,183.0
183,3.53,5.82,5.79,2776.0,56.0,60.7,0.72,184.0
184,3.47,5.84,5.8,2776.0,60.5,59.7,0.72,185.0
185,3.5,5.76,5.8,2776.0,56.0,60.5,0.71,186.0
186,3.57,5.73,5.66,2777.0,58.0,62.7,0.7,187.0
187,3.53,5.7,5.67,2777.0,58.0,62.1,0.71,188.0
188,3.56,5.69,5.64,2777.0,57.0,62.8,0.71,189.0
189,3.59,5.64,5.61,2777.0,58.0,63.8,0.71,190.0
190,3.4,5.9,5.87,2777.0,60.0,57.8,0.71,191.0
191,3.53,5.67,5.7,2777.0,55.0,62.1,0.7,192.0
192,3.47,5.64,5.71,2777.0,60.0,61.1,0.7,193.0
193,3.46,5.75,5.79,2777.0,59.0,60.0,0.7,194.0
194,3.49,5.68,5.73,2777.0,57.0,61.2,0.7,195.0
195,3.54,5.63,5.67,2777.0,59.0,62.7,0.7,196.0
196,3.48,5.68,5.73,2777.0,57.0,61.0,0.7,197.0
197,3.51,5.72,5.78,2777.0,58.0,61.0,0.7,198.0
198,3.52,5.7,5.76,2777.0,57.0,61.4,0.7,199.0
199,3.56,5.71,5.82,2777.0,61.0,61.8,0.72,200.0
200,3.43,5.7,5.76,2777.0,63.0,59.9,0.7,201.0
201,3.49,5.68,5.71,2777.0,58.0,61.3,0.7,202.0
202,3.48,5.74,5.77,2777.0,58.0,60.5,0.7,203.0
203,3.6,5.59,5.64,2777.0,59.0,64.1,0.7,204.0
204,4.08,5.97,6.05,2777.0,60.0,67.9,0.98,205.0
205,3.63,5.8,5.83,2777.0,58.0,62.4,0.78,206.0
206,3.51,5.51,5.6,2777.0,60.0,63.2,0.7,207.0
207,3.19,5.22,5.19,2778.0,55.0,61.3,0.52,208.0
208,3.55,5.84,5.82,2779.0,56.0,60.8,0.73,209.0
209,3.59,5.8,5.84,2779.0,56.0,61.7,0.74,210.0
210,3.58,5.65,5.61,2780.0,57.0,63.6,0.7,211.0
211,3.62,5.93,5.9,2780.0,58.0,61.2,0.77,212.0
212,3.54,5.72,5.68,2780.0,54.0,62.1,0.71,213.0
213,3.59,5.86,5.81,2780.0,55.0,61.5,0.74,214.0
214,3.49,5.73,5.64,2780.0,59.0,61.4,0.7,215.0
215,3.94,6.36,6.39,2781.0,60.0,61.8,1.01,216.0
216,3.64,5.88,5.83,2781.0,56.0,62.2,0.77,217.0
217,3.64,5.99,5.92,2781.0,56.0,61.2,0.78,218.0
218,3.51,5.76,5.83,2782.0,63.0,60.6,0.72,219.0
219,3.08,5.37,5.34,2782.0,64.0,57.5,0.53,220.0
220,3.63,5.94,5.9,2782.0,56.0,61.3,0.76,221.0
221,3.31,5.77,5.81,2782.0,62.0,57.2,0.7,222.0
222,3.51,5.54,5.62,2782.0,60.0,62.9,0.7,223.0
223,3.63,5.73,5.78,2782.0,58.0,63.1,0.75,224.0
224,3.5,5.75,5.76,2782.0,57.0,60.8,0.72,225.0
225,3.58,5.69,5.73,2782.0,59.0,62.7,0.72,226.0
226,3.56,5.66,5.68,2782.0,60.0,62.8,0.7,227.0
227,3.47,6.2,6.39,2782.0,67.0,55.1,0.84,228.0
228,3.6,5.85,5.88,2782.0,59.0,61.4,0.75,229.0
229,3.21,5.18,5.14,2783.0,55.0,62.2,0.52,230.0
230,3.6,5.73,5.69,2784.0,54.0,63.0,0.72,231.0
231,3.75,5.92,5.85,2784.0,56.0,63.7,0.79,232.0
232,3.61,5.69,5.66,2787.0,58.0,63.6,0.72,233.0
233,3.18,5.15,5.11,2787.0,57.0,62.0,0.51,234.0
234,3.41,5.55,5.54,2787.0,56.0,61.5,0.64,235.0
235,3.48,5.77,5.74,2788.0,60.0,60.5,0.7,236.0
236,3.72,6.1,6.07,2788.0,60.0,61.1,0.83,237.0
237,3.62,5.87,5.85,2788.0,56.0,61.8,0.76,238.0
238,3.58,5.68,5.64,2788.0,56.0,63.3,0.71,239.0
239,3.53,5.92,5.97,2788.0,64.0,59.4,0.77,240.0
240,3.55,5.65,5.71,2788.0,55.0,62.5,0.71,241.0
241,4.03,6.21,6.29,2788.0,58.0,64.5,1.01,242.0
242,3.93,6.22,6.31,2788.0,59.0,62.7,1.01,243.0
243,3.72,5.77,5.81,2789.0,52.0,64.2,0.77,244.0
244,3.7,5.85,5.76,2789.0,54.0,63.7,0.76,245.0
245,3.58,5.94,5.92,2789.0,58.0,60.4,0.76,246.0
246,3.61,5.86,5.82,2789.0,58.0,61.8,0.76,247.0
247,4.09,6.45,6.49,2789.0,56.0,63.2,1.05,248.0
248,3.69,6.01,5.97,2789.0,56.0,61.6,0.81,249.0
249,3.53,5.75,5.72,2789.0,56.0,61.6,0.7,250.0
250,3.22,5.3,5.28,2789.0,57.0,60.9,0.55,251.0
251,3.64,5.99,5.94,2789.0,61.0,61.0,0.81,252.0
252,3.38,5.41,5.48,2789.0,57.0,62.1,0.63,253.0
253,3.37,5.52,5.55,2789.0,60.0,60.9,0.63,254.0
254,3.61,5.88,5.9,2789.0,60.0,61.3,0.77,255.0
255,4.18,6.27,6.41,2789.0,59.0,65.8,1.05,256.0
256,3.41,5.58,5.54,2790.0,56.0,61.3,0.64,257.0
257,3.51,5.94,6.0,2790.0,59.0,58.8,0.76,258.0
258,3.76,6.05,6.02,2790.0,55.0,62.3,0.83,259.0
259,3.46,5.74,5.77,2790.0,62.0,60.1,0.71,260.0
260,3.53,5.69,5.73,2790.0,59.0,61.8,0.71,261.0
261,3.87,6.1,6.07,2791.0,55.8,63.6,0.87,262.0
262,3.58,5.78,5.74,2791.0,56.0,62.2,0.73,263.0
263,3.46,5.86,5.83,2792.0,59.0,59.2,0.71,264.0
264,3.54,5.75,5.7,2792.0,59.0,61.8,0.71,265.0
265,3.52,5.77,5.72,2792.0,55.0,61.3,0.71,266.0
266,3.53,5.65,5.71,2792.0,60.0,62.1,0.7,267.0
267,3.5,5.75,5.78,2792.0,60.0,60.7,0.7,268.0
268,3.51,5.86,5.91,2792.0,57.0,59.6,0.76,269.0
269,3.55,5.68,5.73,2792.0,56.0,62.2,0.7,270.0
270,3.65,6.06,5.98,2793.0,57.0,60.6,0.79,271.0
271,3.57,5.69,5.66,2793.0,57.0,62.9,0.7,272.0
272,3.61,5.66,5.6,2793.0,55.0,64.1,0.7,273.0
273,3.61,5.91,5.87,2793.0,56.0,61.3,0.76,274.0
274,3.6,5.76,5.72,2793.0,55.0,62.7,0.73,275.0
275,3.72,5.86,5.91,2794.0,56.0,63.2,0.79,276.0
276,3.53,5.82,5.81,2795.0,56.0,60.7,0.71,277.0
277,3.64,5.86,5.91,2795.0,60.0,61.9,0.81,278.0
278,3.72,5.96,5.92,2795.0,55.0,62.6,0.81,279.0
279,3.48,5.72,5.74,2795.0,60.0,60.7,0.72,280.0
280,3.54,5.69,5.73,2795.0,60.0,62.0,0.72,281.0
281,3.6,5.7,5.72,2795.0,57.0,63.0,0.72,282.0
282,3.57,6.13,6.17,2795.0,59.0,58.0,0.81,283.0
283,3.58,5.65,5.73,2795.0,57.0,62.9,0.72,284.0
284,3.83,6.55,6.61,2795.0,60.0,58.2,1.0,285.0
285,3.62,5.76,5.7,2796.0,58.0,63.2,0.73,286.0
286,3.66,6.01,5.94,2797.0,59.0,61.3,0.81,287.0
287,3.67,6.1,6.07,2797.0,60.0,60.3,0.81,288.0
288,3.57,5.71,5.67,2797.0,60.0,62.7,0.71,289.0
289,3.52,5.75,5.73,2797.0,58.0,61.3,0.71,290.0
290,3.52,5.69,5.74,2797.0,60.0,61.6,0.71,291.0
291,3.31,5.35,5.34,2797.0,55.0,61.9,0.57,292.0
292,3.17,5.16,5.12,2797.0,56.0,61.7,0.51,293.0
293,3.55,5.75,5.72,2797.0,58.0,61.9,0.72,294.0
294,3.58,5.81,5.77,2797.0,58.0,61.8,0.74,295.0
295,3.58,5.82,5.81,2797.0,56.0,61.6,0.74,296.0
296,3.44,5.9,5.81,2797.0,66.0,58.8,0.7,297.0
297,3.67,6.01,6.03,2797.0,57.0,61.0,0.8,298.0
298,4.13,6.05,6.19,2797.0,60.0,67.4,1.01,299.0
299,3.72,5.82,5.92,2797.0,60.0,63.4,0.8,300.0
300,3.62,5.91,5.87,2798.0,59.0,61.5,0.77,301.0
301,3.61,6.25,6.19,2799.0,62.0,58.0,0.83,302.0
302,3.74,6.02,5.97,2799.0,54.0,62.4,0.82,303.0
303,3.64,5.86,5.91,2799.0,57.0,61.9,0.78,304.0
304,3.35,5.46,5.43,2800.0,56.0,61.6,0.6,305.0
305,3.79,6.11,6.07,2800.0,59.0,62.2,0.9,306.0
306,3.5,5.66,5.6,2800.0,58.0,62.2,0.7,307.0
307,3.8,6.23,6.17,2800.0,56.0,61.3,0.9,308.0
308,3.76,6.08,5.99,2800.0,57.0,62.3,0.83,309.0
309,3.74,6.07,6.03,2800.0,57.0,61.8,0.83,310.0
310,3.74,6.02,5.95,2800.0,59.0,62.5,0.83,311.0
311,3.59,5.68,5.74,2800.0,60.0,62.9,0.74,312.0
312,3.67,5.95,5.92,2800.0,59.0,61.8,0.79,313.0
313,3.39,5.45,5.43,2800.0,56.0,62.3,0.61,314.0
314,3.46,5.8,5.89,2800.0,70.0,59.0,0.76,315.0
315,3.88,6.41,6.37,2801.0,55.0,60.7,0.96,316.0
316,3.61,5.76,5.8,2801.0,55.0,62.5,0.73,317.0
317,3.59,5.7,5.76,2801.0,58.0,62.7,0.73,318.0
318,3.59,5.96,5.93,2801.0,57.0,60.4,0.75,319.0
319,3.53,5.67,5.7,2801.0,58.0,62.1,0.71,320.0
320,3.4,5.87,5.9,2801.0,60.0,57.8,0.71,321.0
321,3.59,5.61,5.64,2801.0,58.0,63.8,0.71,322.0
322,3.56,5.64,5.69,2801.0,57.0,62.8,0.71,323.0
323,4.0,6.41,6.46,2801.0,58.0,62.2,1.04,324.0
324,3.98,6.34,6.45,2801.0,58.0,62.3,1.0,325.0
325,3.72,6.23,6.19,2802.0,58.0,59.9,0.87,326.0
326,3.24,5.25,5.22,2802.0,54.0,61.9,0.53,327.0
327,3.59,5.61,5.79,2802.0,55.0,63.0,0.72,328.0
328,3.6,5.7,5.83,2802.0,58.0,62.4,0.72,329.0
329,3.55,5.65,5.63,2803.0,58.0,62.9,0.7,330.0
330,3.66,5.79,5.74,2803.0,56.0,63.5,0.74,331.0
331,3.51,5.71,5.75,2803.0,56.0,61.3,0.71,332.0
332,3.55,5.89,5.84,2803.0,54.0,60.6,0.73,333.0
333,3.63,5.59,5.56,2803.0,58.0,65.1,0.7,334.0
334,3.56,5.67,5.7,2803.0,58.0,62.6,0.71,335.0
335,3.38,5.81,5.85,2803.0,62.0,58.0,0.71,336.0
336,3.54,5.65,5.7,2803.0,61.0,62.4,0.71,337.0
337,3.62,5.88,5.93,2803.0,57.0,61.3,0.77,338.0
338,3.47,5.77,5.81,2803.0,60.0,59.9,0.71,339.0
339,3.64,5.95,6.03,2803.0,58.0,60.8,0.78,340.0
340,3.59,5.64,5.66,2803.0,55.0,63.5,0.71,341.0
341,3.85,6.15,6.21,2803.0,57.0,62.2,0.91,342.0
342,3.6,5.66,5.62,2804.0,58.0,63.8,0.71,343.0
343,3.63,5.68,5.66,2804.0,57.0,64.0,0.71,344.0
344,3.7,5.96,5.88,2804.0,56.0,62.5,0.8,345.0
345,3.56,5.73,5.69,2804.0,58.0,62.3,0.7,346.0
346,3.55,5.77,5.74,2804.0,57.0,61.7,0.72,347.0
347,3.56,5.7,5.75,2804.0,58.0,62.2,0.72,348.0
348,3.72,6.08,6.01,2804.0,56.0,61.5,0.82,349.0
349,3.47,5.7,5.68,2804.0,59.0,61.0,0.7,350.0
350,3.58,5.77,5.74,2804.0,56.0,62.2,0.72,351.0
351,3.56,5.8,5.77,2804.0,54.0,61.5,0.72,352.0
352,3.96,5.84,5.93,2804.0,59.0,67.3,0.9,353.0
353,3.59,5.78,5.85,2805.0,58.0,61.7,0.74,354.0
354,3.58,5.77,5.8,2805.0,56.0,61.9,0.74,355.0
355,3.58,5.81,5.77,2805.0,58.0,61.8,0.73,356.0
356,3.16,5.43,5.34,2805.0,66.0,58.7,0.57,357.0
357,3.58,5.7,5.75,2805.0,57.0,62.5,0.73,358.0
358,3.59,5.7,5.74,2805.0,56.0,62.8,0.72,359.0
359,3.53,5.75,5.82,2805.0,68.0,61.1,0.74,360.0
360,3.78,5.89,5.92,2805.0,57.0,64.0,0.82,361.0
361,3.69,5.94,5.89,2806.0,60.0,62.5,0.81,362.0
362,3.56,5.9,5.85,2806.0,58.0,60.6,0.75,363.0
363,3.53,5.74,5.72,2806.0,55.0,61.6,0.7,364.0
364,3.54,5.72,5.66,2807.0,58.0,62.2,0.71,365.0
365,3.52,5.9,5.84,2807.0,57.0,60.0,0.71,366.0
366,3.84,6.19,6.21,2807.0,57.0,61.9,0.93,367.0
367,3.7,5.91,5.87,2808.0,57.0,62.8,0.8,368.0
368,3.52,5.71,5.64,2808.0,57.0,62.0,0.7,369.0
369,4.07,6.09,6.16,2808.0,59.0,66.4,1.0,370.0
370,3.65,5.74,5.78,2808.0,56.0,63.4,0.75,371.0
371,3.3,5.43,5.41,2808.0,56.0,60.9,0.58,372.0
372,3.61,5.7,5.74,2808.0,57.0,63.1,0.73,373.0
373,3.67,5.79,5.85,2809.0,59.0,63.1,0.81,374.0
374,3.61,6.05,6.15,2809.0,57.0,59.2,0.81,375.0
375,3.53,5.8,5.84,2809.0,54.0,60.7,0.71,376.0
376,4.33,6.66,6.73,2809.0,56.0,64.6,1.2,377.0
377,3.5,5.7,5.63,2810.0,56.0,61.8,0.7,378.0
378,3.48,5.84,5.77,2810.0,60.0,59.9,0.7,379.0
379,3.6,5.85,5.81,2810.0,55.0,61.7,0.74,380.0
380,3.51,5.61,5.57,2810.0,61.0,62.8,0.7,381.0
381,3.69,5.93,5.84,2810.0,57.0,62.7,0.8,382.0
382,3.64,5.76,5.72,2811.0,58.0,63.4,0.75,383.0
383,3.79,5.95,5.98,2811.0,54.0,63.5,0.83,384.0
384,4.01,6.07,6.14,2811.0,59.0,65.7,1.0,385.0
385,4.18,6.06,6.21,2811.0,56.0,68.1,0.99,386.0
386,3.53,5.64,5.57,2812.0,60.0,63.0,0.7,387.0
387,3.45,5.85,5.75,2812.0,58.0,59.5,0.7,388.0
388,3.5,5.53,5.49,2812.0,59.0,63.5,0.7,389.0
389,3.49,5.69,5.63,2812.0,58.0,61.7,0.7,390.0
390,2.73,4.34,4.37,554.0,58.0,62.7,0.32,391.0
391,2.74,4.34,4.39,554.0,58.0,62.8,0.32,392.0
392,2.72,4.35,4.37,554.0,57.0,62.4,0.32,393.0
393,2.67,4.36,4.39,554.0,59.0,61.0,0.32,394.0
394,2.76,4.36,4.39,554.0,56.0,63.1,0.32,395.0
395,2.7,4.42,4.47,554.0,57.0,60.7,0.32,396.0
396,2.62,4.29,4.31,554.0,59.0,60.9,0.3,397.0
397,2.64,4.38,4.41,554.0,55.0,60.1,0.3,398.0
398,2.68,4.24,4.28,554.0,58.0,62.9,0.3,399.0
399,2.71,4.27,4.29,554.0,56.0,63.3,0.3,400.0
400,2.7,4.2,4.26,554.0,55.0,63.8,0.3,401.0
